id,familia,subfamilia,codigo,marca,tipo,lado,descripcion,precio,stock,proveedor,fecha_actualizacion
1,Correas,Correas Poly V,3PK715,SKF,,,"RENAULT CLIO, R19",5000,1,GRUPO AUTOPARTES,2026-05-27
2,Correas,Correas Poly V,3PK719,SKF,,,"FIAT PUNTO 1.7, PALIO 1.7",5000,1,GRUPO AUTOPARTES,2026-05-19
3,Correas,Correas Poly V,3PK750,SKF,,,"HONDA CIVIC, CLIO II",5000,2,GRUPO AUTOPARTES,2026-06-29
4,Correas,Correas Poly V,3PK796,SKF,,,"VW FOX, SURAN, GOL TREND",9500,6,GRUPO AUTOPARTES,2026-05-19
5,Correas,Correas Poly V,3PK796EE,SKF,,,"VW FOX, GOL",15000,1,GRUPO AUTOPARTES,2026-07-01
6,Correas,Correas Poly V,3PK830,SKF,,,RENAULT CLIO,6000,4,GRUPO AUTOPARTES,2026-05-19
7,Correas,Correas Poly V,3PK890,SKF,,,"CHEV PRISMA, ONIX",7500,5,GRUPO AUTOPARTES,2026-05-19
8,Correas,Correas Poly V,3PK905,SKF,,,"FIAT PUNTO 1.4, IDEA, PALIO",4500,6,GRUPO AUTOPARTES,2026-05-19
9,Correas,Correas Poly V,3PK938,SKF,,,"PEUGEOT BOXER, FIAT PUNTO",7500,1,GRUPO AUTOPARTES,2026-05-19
10,Correas,Correas Poly V,4PK1005,SKF,,,NISSAN,10000,1,GRUPO AUTOPARTES,2026-05-19
11,Correas,Correas Poly V,4PK1022,SKF,,,"FIAT, PALIO, SIENA, STRADA",9000,2,GRUPO AUTOPARTES,2026-05-19
12,Correas,Correas Poly V,4PK1070,SKF,,,"RENAULT CLIO 1.2, HONDA",9500,1,GRUPO AUTOPARTES,2026-05-19
13,Correas,Correas Poly V,4PK1538,SKF,,,"PEUGEOT 206, RENAULT CLIO II",10500,2,GRUPO AUTOPARTES,2026-07-01
14,Correas,Correas Poly V,4PK855,SKF,,,"PEUOGEOT PARNET, 306",7000,1,GRUPO AUTOPARTES,2026-05-19
15,Correas,Correas Poly V,4PK907,SKF,,,"FIAT PALIO, SIENA, PALIO AVENTURE",9000,1,GRUPO AUTOPARTES,2026-05-19
16,Correas,Correas Poly V,4PK955,SKF,,,CITROEN BX,6500,1,GRUPO AUTOPARTES,2026-05-19
